source,target,op,file,join_type
PROD_MODELOS.DBO.V_REGLASDURAS,PROD_MODELOS.DBO.TMPV_REGLASDURAS_,CREATE TABLE,PI_CARGAINTERFAZFED.sql,FROM
PROD_MODELOS.DBO.UMD_FED_DETALLEBASEMASIVAS,PROD_MODELOS.DBO.TMP_DETALLEBASEMASIVAS,CREATE TABLE,PI_CARGAINTERFAZFED.sql,FROM
PROD_MODELOS.DBO.UMD_FED_DETALLEBASEMASIVAS,PROD_MODELOS.DBO.TMP_DETALLEBASEMASIVASPROCESOEFECTIVO,CREATE TABLE,PI_CARGAINTERFAZFED.sql,FROM
PROD_MODELOS.DBO.UMD_FED_BASESMASIVASBI,PROD_MODELOS.DBO.TMP_DETALLEBASEMASIVASPROCESOEFECTIVO,CREATE TABLE,PI_CARGAINTERFAZFED.sql,LEFT
PROD_MODELOS.DBO.TMP_DETALLEBASEMASIVAS,PROD_MODELOS.DBO.TMP_DETALLEBASEMASIVASAPROB,CREATE TABLE,PI_CARGAINTERFAZFED.sql,FROM
PROD_MODELOS.DBO.TMP_DETALLEBASEMASIVAS,PROD_MODELOS.DBO.TMP_DETALLEBASEMASIVATC,CREATE TABLE,PI_CARGAINTERFAZFED.sql,FROM
PROD_MODELOS.DBO.TMPV_REGLASDURAS_,PROD_MODELOS.DBO.TMP_DETALLEBASEMASIVATC,CREATE TABLE,PI_CARGAINTERFAZFED.sql,LEFT
PROD_ANALITICA.DBO.V_DATOSCONVENIOS,PROD_MODELOS.DBO.TMP_GRUPOB,CREATE TABLE,PI_CARGAINTERFAZFED.sql,FROM
PROD_MODELOS.DBO.UMD_FED_DETALLEBASEMASIVAS,PROD_MODELOS.DBO.TMPPERFILEFECTIVORECURRENTE,CREATE TABLE,PI_CARGAINTERFAZFED.sql,FROM
PROD_MODELOS.DBO.UMD_FED_DETALLEBASEMASIVAS,PROD_MODELOS.DBO.TMPPERFILEFECTIVOBANCARIZADO,CREATE TABLE,PI_CARGAINTERFAZFED.sql,FROM
PROD_MODELOS.DBO.UMD_FED_DETALLEBASEMASIVAS,PROD_MODELOS.DBO.TMPPERFILELECTRORECURRENTE,CREATE TABLE,PI_CARGAINTERFAZFED.sql,FROM
PROD_MODELOS.DBO.UMD_FED_DETALLEBASEMASIVAS,PROD_MODELOS.DBO.TMPPERFILELECTROBANCARIZADO,CREATE TABLE,PI_CARGAINTERFAZFED.sql,FROM
